dt,new_friend,frient_request,message,meet_me_match,chat,pets,photo_comment,meet_me_yes,uninstalls
3/6/13,275468,569548,2749681,161179,8489,656119,4054,81750,13510
3/7/13,263729,565211,2508129,158182,7894,647751,9809,185462,13128
3/8/13,246290,517432,2384370,148364,7658,613174,9293,167071,13160
3/9/13,249058,528110,2466418,154791,8288,611831,9559,171155,12759
3/10/13,271245,557970,2642610,166617,8776,650400,9460,180069,13244
3/11/13,283390,618083,2697621,166661,8858,676248,10122,178426,13426
3/12/13,270554,615136,2572113,155967,8340,667083,10166,170359,12996
3/13/13,268935,598224,2607492,157487,8232,642082,10052,175799,12883
3/14/13,257505,582274,2544284,143200,7899,632514,9700,153327,12676
3/15/13,242435,540913,2358736,126878,7786,596342,8207,129379,12826
3/16/13,247303,549905,2444872,139917,7599,600400,8056,144521,12855
3/17/13,274631,598074,2736508,156084,8617,656507,9610,162621,13189
3/18/13,281365,599950,2714808,150773,9744,673058,10592,152318,13265
3/19/13,260999,569524,2632994,131393,9825,666571,9248,136329,13066
3/20/13,252639,564197,2540687,126598,9153,639070,10147,128924,13199
3/21/13,254400,567921,2615657,130690,9816,641453,20496,263543,12918
3/22/13,247487,572224,2714288,130238,9105,643778,41339,515243,12906
3/23/13,259605,606852,2923810,142872,9898,677098,50520,598735,12707
3/24/13,294243,665603,3266784,166988,11420,742631,60540,727870,13344
3/25/13,286954,672108,3162818,162014,11084,750373,58919,725282,13181
3/26/13,267443,640153,3049702,159610,10895,732188,51543,720902,12863
3/27/13,257209,609974,2885254,150383,10491,708953,53094,725431,12816
3/28/13,247867,585193,2742554,142223,9562,668140,50541,692721,12601
3/29/13,237474,581987,2743694,140547,9362,671645,50490,683397,12554
3/30/13,234017,584668,2744385,140375,9682,655440,49577,688459,12305
3/31/13,258964,624074,2990218,154023,10125,692750,54479,741672,12314
4/1/13,271712,652099,3152936,163222,10229,741106,58811,780356,12765
4/2/13,268383,623354,2963070,158891,9350,725933,60933,793704,12882
4/3/13,263221,615307,2925200,157550,9183,727247,59853,814443,12971
4/4/13,272759,642210,2897829,163836,8632,794471,59395,834796,13146
4/5/13,275262,658615,2892588,170433,8435,768157,55448,825830,12909
4/6/13,256461,582497,2680768,152451,8908,664670,53152,824158,12137
4/7/13,286019,639320,3012485,172742,9910,727850,58635,876767,12652
4/8/13,279149,618371,2942164,163667,9626,755646,57300,842235,12566
4/9/13,254582,572013,2742239,150901,9287,724596,52373,816734,12488
4/10/13,258936,585601,2790104,158736,8818,719741,56598,845407,12473
4/11/13,251791,553754,2677720,149145,8488,677436,54302,797507,12768
4/12/13,245857,573430,2810715,150010,8797,672135,55631,812065,12886
4/13/13,253285,586434,2866608,161223,9588,678047,53694,874798,12452
4/14/13,291915,646298,3254346,182698,10564,730932,64999,975139,12487
4/15/13,274610,619912,3079701,168473,9767,728194,59395,923162,12656
4/16/13,266070,601966,3020034,162169,9057,728227,57692,909452,12867
4/17/13,255868,588602,2967457,155144,8872,710391,57131,870600,12410
4/18/13,254337,582825,2865552,155736,9077,684719,56258,898697,12468
4/19/13,239167,559372,2738971,147617,8397,666468,52367,879042,12822
4/20/13,231587,524483,2641703,152598,8417,637657,50096,899726,12040
4/21/13,283291,624432,3116243,178382,9706,706144,59620,1008141,12832
4/22/13,276230,616369,3036022,174420,10015,726201,59818,982034,15142
4/23/13,269355,605059,2953047,167739,9716,713443,58943,996981,13529
4/24/13,263553,587473,2847084,162236,8717,690884,55309,960916,13061
4/25/13,258056,582094,2894648,162322,8678,679894,57136,951854,14440
4/26/13,243821,570594,2801284,162965,8260,654758,53358,1069667,12949
4/27/13,261766,614875,3040067,188879,8467,641917,53511,1293557,12551
4/28/13,303703,671125,3746805,209929,9558,715100,63177,1328371,13167
4/29/13,241538,535040,2747912,157559,7662,595792,51963,1037452,13648
4/30/13,255646,568837,2653276,168637,7417,644004,57560,1128943,13063
5/1/13,259681,561065,2504876,170252,7224,662671,55571,1166500,12706
5/2/13,241059,558800,2677146,156228,8001,632920,53971,1086155,12708
5/3/13,226703,512871,2589384,120259,7273,621577,52329,701593,13056
5/4/13,242991,573447,2720798,162733,8055,621670,55772,1180078,12415
5/5/13,243539,552985,2852970,133859,8600,628354,56045,758124,12804
5/6/13,274414,635052,3082073,173358,9280,700292,65627,1217622,12937
5/7/13,267409,602172,2967974,174196,8554,669743,63793,1010793,12855
5/8/13,273983,609300,2981353,213155,8936,666779,62002,893347,13697
5/9/13,265582,596654,2849966,218002,8509,656928,64054,814590,13420
5/10/13,256227,569369,2734367,218585,7611,616838,58557,740098,13792
5/11/13,254256,573589,2829409,193298,8017,620246,59526,750587,13867
5/12/13,258248,572271,2864960,191940,8677,622677,60574,762899,14004
5/13/13,279932,617774,2987824,227791,9097,683176,64356,842951,14614
5/14/13,293508,644038,2991895,273946,8766,664081,65435,959039,15632
5/15/13,295920,630035,2894958,279665,9136,634503,63623,929844,15454
5/16/13,290977,621821,2828536,278498,9067,647880,60639,897210,15377
5/17/13,278923,604140,2784772,267805,8004,631669,60622,850825,14144
5/18/13,289233,628476,2895798,277996,8625,619329,61408,880900,13959
5/19/13,329614,695190,3275156,305732,9494,692619,68551,964000,14256
5/20/13,316285,683681,3231041,298317,9071,720931,69016,955813,14941
5/21/13,303183,648935,2983392,285344,8356,688507,64074,937032,15047
5/22/13,299017,644470,2962132,280856,8402,670320,65420,922162,15591
5/23/13,291332,628034,2910091,275367,7773,656351,63154,929473,16695
